,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - April, 2023",,
Market,"Prices April, 2023 (Rs./Quintal)","Prices March, 2023 (Rs./Quintal)","Prices April, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Umarked(Danki) APMC,2300.0,2124.39,1966.67,8.3%,16.9%
Umarkhed APMC,-,-,1900.0,-,-
Vaduj APMC,2480.0,2550.0,2070.0,-2.8%,19.8%
Vadvani APMC,-,-,1900.0,-,-
Vaijpur APMC,2350.0,-,2244.23,-,4.7%
Varud(Rajura Bazar) APMC,-,-,1839.67,-,-
Vasai APMC,3560.42,3396.7,3471.31,4.8%,2.6%
Vitthal Krushi Utpanna Bazar  APMC,2085.92,-,-,-,-
Wardha APMC,2380.94,2212.16,2172.24,7.6%,9.6%
Washim APMC,2055.56,1989.66,1973.58,3.3%,4.2%
Washim(Ansing) APMC,2016.26,2012.81,1950.56,0.2%,3.4%
Yawal APMC,2627.65,2646.17,2221.47,-0.7%,18.3%
Yeola APMC,2120.64,2170.34,2174.83,-2.3%,-2.5%
Yeotmal APMC,2142.0,2045.35,2095.78,4.7%,2.2%
Average,2393.48,2297.27,2211.97,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

