Market,"Prices August, 2023 (Rs./Quintal)","Prices July, 2023 (Rs./Quintal)","Prices August, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Sillod(Bharadi) APMC,2413.75,2250.0,2344.74,7.3%,2.9%
Sindi(Selu) APMC,2297.18,2201.51,2195.87,4.3%,4.6%
Sinner APMC,2546.47,2429.04,2478.75,4.8%,2.7%
Solapur APMC,2716.11,2628.3,2680.96,3.3%,1.3%
Sonpeth APMC,2322.4534274813736,2245.6903149255986,2201.0,-,-
Tadkalas APMC,2190.0,2016.67,1900.0,8.6%,15.3%
Tasgaon APMC,2600.0,2648.18,2234.57,-1.8%,16.4%
Telhara APMC,2333.33,2260.0,2211.22,3.2%,5.5%
Tuljapur APMC,2808.82,2798.15,2533.33,0.4%,10.9%
Tumsar APMC,2234.53,2212.43,2309.13,1.0%,-3.2%
Ulhasnagar APMC,3405.72,3349.43,2959.53,1.7%,15.1%
Umared APMC,2443.55,2419.51,2100.0,1.0%,16.4%
Umarga APMC,2400.0,2030.0,3050.0,18.2%,-21.3%
Umari APMC,2300.0,2224.305945269364,2210.079098805395,-,-
Umarked(Danki) APMC,2100.0,2100.0,2000.0,-,5.0%
Umarkhed APMC,2215.9333957514655,2100.0,2147.147103886269,-,-
Vaduj APMC,2300.0,2320.0,2308.33,-0.9%,-0.4%
Vaijpur APMC,2490.43,2384.68,2355.0,4.4%,5.8%
Vani APMC,2157.3342764631498,2089.96800517443,2045.0,-,-
Varora APMC,2039.1364841926043,1978.4967851108845,1933.33,-,-
Varud(Rajura Bazar) APMC,2428.0,2345.216851126893,2305.466573158855,-,-
Vasai APMC,3392.1,3482.8,3473.43,-2.6%,-2.3%
Wardha APMC,2391.99,2286.72,2247.56,4.6%,6.4%
Washim APMC,2218.18,2126.04,2011.51,4.3%,10.3%
Washim(Ansing) APMC,2290.48,2460.0,2188.89,-6.9%,4.6%
Yawal APMC,2670.77,2652.0,2513.33,0.7%,6.3%
Yeola APMC,2468.26,2310.0,2544.19,6.8%,-3.0%
Yeotmal APMC,2439.04,2284.09,2378.07,6.8%,2.6%
Average,2481.69,2382.57,2342.38,-,-
Note:,2451.987620922099,2367.8966776310053,2323.342630786361,,
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity,2451.987620922099,2367.8966776310053,2323.342630786361,,
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100,2451.987620922099,2367.8966776310053,2323.342630786361,,
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100,2451.987620922099,2367.8966776310053,2323.342630786361,,
